date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,totalTestResults,totalTestResultsIncrease,totalTestsViral,totalTestsViralIncrease
5/27/2020,IL,5083,5083,160,,3826,1031,592,114306,114306,1111,803973,17179,803973,17179
5/26/2020,IL,4923,4923,39,,3788,1035,590,113195,113195,1178,786794,17230,786794,17230
5/25/2020,IL,4884,4884,28,,3762,1025,605,112017,112017,1713,769564,21643,769564,21643
5/24/2020,IL,4856,4856,66,,3667,1007,632,110304,110304,2508,747921,25674,747921,25674
5/23/2020,IL,4790,4790,75,,3753,1027,607,107796,107796,2352,722247,25114,722247,25114
5/22/2020,IL,4715,4715,108,,3928,1060,589,105444,105444,2758,697133,25113,697133,25113
5/21/2020,IL,4607,4607,82,,4107,1088,609,102686,102686,2268,672020,29307,672020,29307
5/20/2020,IL,4525,4525,146,,3914,1005,554,100418,100418,2388,642713,21029,642713,21029
5/19/2020,IL,4379,4379,145,,4002,993,576,98030,98030,1545,621684,18443,621684,18443
5/18/2020,IL,4234,4234,57,,4120,1096,636,96485,96485,2294,603241,21297,603241,21297
5/17/2020,IL,4177,4177,48,,4190,1144,735,94191,94191,1734,581944,20295,581944,20295
5/16/2020,IL,4129,4129,71,,4306,1135,653,92457,92457,2088,561649,23047,561649,23047
5/15/2020,IL,4058,4058,130,,4367,1129,675,90369,90369,2432,538602,26565,538602,26565
5/14/2020,IL,3928,3928,136,,4473,1132,689,87937,87937,3239,512037,22678,512037,22678
5/13/2020,IL,3792,3792,191,,4563,1208,714,84698,84698,1677,489359,17668,489359,17668
5/12/2020,IL,3601,3601,142,,4626,1215,730,83021,83021,4014,471691,29266,471691,29266
5/11/2020,IL,3459,,53,,4319,1248,730,79007,79007,1266,442425,12441,442425,12441
5/10/2020,IL,3406,,57,,4293,1232,709,77741,77741,1656,429984,13653,429984,13653
5/9/2020,IL,3349,,108,,4739,1215,739,76085,76085,2325,416331,16617,416331,16617
5/8/2020,IL,3241,,130,,4750,1222,727,73760,73760,2887,399714,20671,399714,20671
5/7/2020,IL,3111,,137,,4862,1253,766,70873,70873,2641,379043,17783,379043,17783
5/6/2020,IL,2974,,136,,4832,1231,780,68232,68232,2270,361260,14974,361260,14974
5/5/2020,IL,2838,,176,,4780,1266,780,65962,65962,2122,346286,13139,346286,13139
5/4/2020,IL,2662,,44,,4493,1232,763,63840,63840,2341,333147,13834,333147,13834
5/3/2020,IL,2618,,59,,4701,1232,759,61499,61499,2994,319313,19417,319313,19417
5/2/2020,IL,2559,,102,,4717,1250,789,58505,58505,2450,299896,15208,299896,15208
5/1/2020,IL,2457,,102,,4900,1263,777,56055,56055,3137,284688,14821,284688,14821
4/30/2020,IL,2355,,140,,4953,1289,785,52918,52918,2563,269867,13200,269867,13200
4/29/2020,IL,2215,,90,,5036,1290,777,50355,50355,2253,256667,14478,256667,14478
4/28/2020,IL,2125,,142,,4738,1245,778,48102,,2219,242189,14561,242189,14561
4/27/2020,IL,1983,,50,,4672,1249,763,45883,,1980,227628,12676,227628,12676
4/26/2020,IL,1933,,59,,4595,1267,772,43903,,2126,214952,13335,214952,13335
4/25/2020,IL,1874,,79,,4699,1244,763,41777,,2119,201617,11985,201617,11985
4/24/2020,IL,1795,,107,,4828,1225,709,39658,,2724,189632,16124,189632,16124
4/23/2020,IL,1688,,123,,4877,1268,766,36934,,1826,173508,9162,173508,9162
4/22/2020,IL,1565,,97,,4665,1220,747,35108,,2049,164346,9349,164346,9349
4/21/2020,IL,1468,,119,,4776,1226,781,33059,,1551,154997,6639,154997,6639
4/20/2020,IL,1349,,59,,4599,1239,757,31508,,1151,148358,5040,148358,5040
4/19/2020,IL,1290,,31,,4314,1196,749,30357,,1197,143318,5914,143318,5914
4/18/2020,IL,1259,,125,,4340,1192,740,29160,,1585,137404,7241,137404,7241
4/17/2020,IL,1134,,62,,4454,1196,777,27575,,1842,130163,7574,130163,7574
4/16/2020,IL,1072,,124,,4423,1248,797,25733,,1140,122589,5660,122589,5660
4/15/2020,IL,948,,80,,4283,1189,796,24593,,1346,116929,6313,116929,6313
4/14/2020,IL,868,,74,,4283,1189,796,23247,,1222,110616,4848,110616,4848
4/13/2020,IL,794,,74,,3680,1166,821,22025,,1173,105768,5033,105768,5033
4/12/2020,IL,720,,43,,3680,1166,821,20852,,1672,100735,7956,100735,7956
4/11/2020,IL,677,,81,,3680,1166,821,19180,,1293,92779,5252,92779,5252
4/10/2020,IL,596,,68,,3680,1166,821,17887,,1465,87527,6670,87527,6670
4/9/2020,IL,528,,66,,3680,1166,821,16422,,1344,80857,5791,80857,5791
4/8/2020,IL,462,,82,,3680,1166,821,15078,,1529,75066,6334,75066,6334
4/7/2020,IL,380,,73,,3680,1166,821,13549,,1287,68732,5790,68732,5790
4/6/2020,IL,307,,33,,,,,12262,,1006,62942,3959,62942,3959
4/5/2020,IL,274,,31,,,,,11256,,899,58983,5402,58983,5402
4/4/2020,IL,243,,33,,,,,10357,,1453,53581,5533,53581,5533
4/3/2020,IL,210,,53,,,,,8904,,1209,48048,4392,48048,4392
4/2/2020,IL,157,,16,,,,,7695,,715,43656,3272,43656,3272
4/1/2020,IL,141,,42,,,,,6980,,986,40384,5159,40384,5159
3/31/2020,IL,99,,26,,,,,5994,,937,35225,4779,35225,4779
3/30/2020,IL,73,,8,,,,,5057,,461,30446,2684,30446,2684
3/29/2020,IL,65,,18,,,,,4596,,1105,27762,2333,27762,2333
3/28/2020,IL,47,,13,,,,,3491,,465,25429,3887,25429,3887
3/27/2020,IL,34,,8,,,,,3026,,488,21542,4911,21542,4911
3/26/2020,IL,26,,7,,,,,2538,,673,16631,2422,16631,2422
3/25/2020,IL,19,,3,,,,,1865,,330,14209,2724,14209,2724
3/24/2020,IL,16,,4,,,,,1535,,262,11485,1617,11485,1617
3/23/2020,IL,12,,3,,,,,1273,,224,9868,1494,9868,1494
3/22/2020,IL,9,,3,,,,,1049,,296,8374,2127,8374,2127
3/21/2020,IL,6,,1,,,,,753,,168,6247,1961,6247,1961
3/20/2020,IL,5,,1,,,,,585,,163,4286,1135,4286,1135
3/19/2020,IL,4,,3,,,,,422,,134,3151,1099,3151,1099
3/18/2020,IL,1,,0,,,,,288,,129,2052,552,2052,552
3/17/2020,IL,1,,1,,,,,159,,66,1500,357,1500,357
3/16/2020,IL,,,0,,,,,93,,29,1143,211,1143,211
3/15/2020,IL,,,0,,,,,64,,18,932,224,932,224
3/14/2020,IL,,,0,,,,,46,,14,708,264,708,264
3/13/2020,IL,,,0,,,,,32,,7,444,26,444,26
3/12/2020,IL,,,0,,,,,25,,6,418,51,418,51
3/11/2020,IL,,,0,,,,,19,,0,367,41,367,41
3/10/2020,IL,,,0,,,,,19,,12,326,326,326,326
3/9/2020,IL,,,0,,,,,7,,1,,0,,0
3/8/2020,IL,,,0,,,,,6,,0,,0,,0
3/7/2020,IL,,,0,,,,,6,,1,,0,,0
3/6/2020,IL,,,0,,,,,5,,0,,0,,0
3/5/2020,IL,,,0,,,,,5,,1,,0,,0
3/4/2020,IL,,,0,,,,,4,,0,,0,,0
